epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,248.375,0.68236,0.50321,0.86862,0.984,0.87409,0.98629,0.84611,0.72365,1.73663,0.8887,0.000709744,0.000709744,0.000709744
90,250.774,0.6581,0.49448,0.8665,0.98404,0.8863,0.98692,0.86547,0.67129,1.69582,0.87393,0.000711514,0.000711514,0.000711514
91,253.125,0.65907,0.49317,0.8665,0.98198,0.88255,0.98668,0.85405,0.67838,1.69662,0.87805,0.000713142,0.000713142,0.000713142
92,255.397,0.64892,0.48864,0.8697,0.98086,0.88395,0.98692,0.85942,0.68247,1.68755,0.87884,0.000714629,0.000714629,0.000714629
93,257.704,0.64556,0.49116,0.86507,0.9814,0.89779,0.98545,0.86904,0.7095,1.65458,0.88269,0.000715975,0.000715975,0.000715975
94,260.134,0.66199,0.48729,0.86764,0.98266,0.90473,0.98318,0.86741,0.69578,1.64279,0.88193,0.000717179,0.000717179,0.000717179
95,262.722,0.64434,0.49188,0.86718,0.98206,0.90459,0.98415,0.86867,0.68768,1.62914,0.8839,0.000718241,0.000718241,0.000718241
96,264.973,0.64169,0.4812,0.86448,0.98031,0.92067,0.98313,0.87743,0.67526,1.5872,0.87726,0.000719162,0.000719162,0.000719162
97,267.383,0.66302,0.49072,0.86328,0.98036,0.92456,0.9843,0.86557,0.6941,1.57118,0.88449,0.000719942,0.000719942,0.000719942
98,269.691,0.63504,0.48481,0.85686,0.98074,0.9293,0.98643,0.84023,0.70102,1.56192,0.88724,0.00072058,0.00072058,0.00072058
99,272.037,0.61943,0.47584,0.85993,0.97811,0.92552,0.9807,0.84736,0.67417,1.56134,0.88569,0.000721076,0.000721076,0.000721076
100,274.28,0.64862,0.48589,0.86689,0.97831,0.91973,0.97998,0.86461,0.66393,1.56377,0.88735,0.000721431,0.000721431,0.000721431
101,276.545,0.62997,0.47876,0.86235,0.98059,0.92317,0.98528,0.85964,0.72546,1.54601,0.89902,0.000721645,0.000721645,0.000721645
102,278.912,0.66126,0.48336,0.86505,0.9804,0.92355,0.98991,0.87366,0.69683,1.52361,0.89096,0.000714571,0.000714571,0.000714571
103,281.33,0.64932,0.48504,0.86034,0.98142,0.93506,0.9893,0.8744,0.67422,1.50182,0.8817,0.000707498,0.000707498,0.000707498
104,283.739,0.6896,0.4902,0.86516,0.98127,0.94142,0.98689,0.87429,0.65991,1.48147,0.88043,0.000700424,0.000700424,0.000700424
105,286.316,0.66202,0.47734,0.86122,0.97949,0.94325,0.98841,0.84186,0.70692,1.45295,0.88951,0.000693351,0.000693351,0.000693351
106,288.621,0.64865,0.47466,0.86072,0.97924,0.95514,0.9867,0.85265,0.71189,1.41587,0.89441,0.000686277,0.000686277,0.000686277
107,290.97,0.6276,0.467,0.86434,0.97779,0.95593,0.98517,0.87273,0.66659,1.38295,0.88446,0.000679204,0.000679204,0.000679204
108,293.385,0.61545,0.46461,0.85464,0.97775,0.95726,0.98689,0.87535,0.65655,1.34482,0.88411,0.00067213,0.00067213,0.00067213
109,295.751,0.61032,0.46133,0.85617,0.97712,0.96025,0.98884,0.869,0.67187,1.32005,0.89029,0.000665057,0.000665057,0.000665057
110,298.03,0.62679,0.46498,0.85644,0.97978,0.96515,0.99072,0.8642,0.69495,1.2879,0.8938,0.000657983,0.000657983,0.000657983
111,300.353,0.61523,0.46245,0.85961,0.97973,0.96925,0.98775,0.87833,0.66305,1.25958,0.88425,0.000650909,0.000650909,0.000650909
112,302.758,0.6066,0.45872,0.8534,0.97797,0.97182,0.98779,0.87975,0.65827,1.22914,0.88363,0.000643836,0.000643836,0.000643836
113,305.117,0.62203,0.46079,0.85931,0.97734,0.97316,0.99023,0.88191,0.67195,1.19612,0.88863,0.000636762,0.000636762,0.000636762
114,307.436,0.61487,0.46304,0.85839,0.97478,0.97495,0.99032,0.87795,0.66747,1.14567,0.88139,0.000629689,0.000629689,0.000629689
115,309.782,0.59808,0.44596,0.85211,0.97499,0.97393,0.99049,0.87224,0.65048,1.11079,0.87766,0.000622615,0.000622615,0.000622615
116,312.135,0.59777,0.45271,0.85132,0.97575,0.97195,0.98789,0.86173,0.68241,1.09897,0.88805,0.000615542,0.000615542,0.000615542
117,314.525,0.63543,0.46384,0.85947,0.97728,0.97051,0.98795,0.87661,0.67616,1.06947,0.88844,0.000608468,0.000608468,0.000608468
118,316.88,0.61394,0.45589,0.85722,0.9769,0.97325,0.99015,0.88484,0.65522,1.0434,0.88183,0.000601395,0.000601395,0.000601395
119,319.171,0.62247,0.44843,0.8539,0.9774,0.97377,0.988,0.88385,0.64549,1.02105,0.88068,0.000594321,0.000594321,0.000594321
120,321.465,0.62161,0.45304,0.85392,0.97992,0.97924,0.99066,0.86657,0.67156,0.99888,0.8824,0.000587248,0.000587248,0.000587248
121,324.03,0.61804,0.45005,0.86068,0.97946,0.98046,0.99104,0.86714,0.67802,0.99223,0.88263,0.000580174,0.000580174,0.000580174
122,326.322,0.60996,0.44975,0.85767,0.97799,0.9777,0.98994,0.88225,0.64773,0.98102,0.87551,0.0005731,0.0005731,0.0005731
123,328.646,0.60252,0.44653,0.85414,0.98038,0.97917,0.99268,0.88105,0.65335,0.97765,0.88288,0.000566027,0.000566027,0.000566027
124,331.069,0.61679,0.44577,0.85848,0.98016,0.97548,0.99123,0.87988,0.65061,0.98071,0.8857,0.000558953,0.000558953,0.000558953
125,333.514,0.61338,0.4473,0.85729,0.97689,0.97234,0.98984,0.87955,0.6675,0.97747,0.884,0.00055188,0.00055188,0.00055188
126,335.962,0.61593,0.44809,0.8578,0.97639,0.97509,0.99018,0.87,0.67108,0.97196,0.88561,0.000544806,0.000544806,0.000544806
127,338.393,0.64278,0.45539,0.86062,0.97909,0.97776,0.99316,0.87563,0.64778,0.94929,0.87919,0.000537733,0.000537733,0.000537733
128,340.752,0.59978,0.44596,0.85012,0.97926,0.97847,0.99219,0.87831,0.63737,0.91453,0.87512,0.000530659,0.000530659,0.000530659
129,343.064,0.61,0.44821,0.85345,0.97834,0.97501,0.99006,0.88092,0.63613,0.87079,0.87278,0.000523586,0.000523586,0.000523586
130,345.412,0.59814,0.44356,0.84917,0.97691,0.97962,0.99138,0.87649,0.64614,0.82364,0.87862,0.000516512,0.000516512,0.000516512
131,347.784,0.58817,0.43548,0.84797,0.97511,0.98168,0.99219,0.88514,0.63683,0.78866,0.8814,0.000509438,0.000509438,0.000509438
132,350.162,0.59259,0.43451,0.84949,0.97887,0.9756,0.99212,0.88759,0.6231,0.76957,0.87772,0.000502365,0.000502365,0.000502365
133,352.639,0.58846,0.43145,0.84801,0.97393,0.9752,0.99285,0.8896,0.62629,0.7519,0.87871,0.000495291,0.000495291,0.000495291
134,355.037,0.58439,0.4344,0.85067,0.97076,0.98291,0.99143,0.87846,0.6406,0.7445,0.88395,0.000488218,0.000488218,0.000488218
135,357.495,0.5765,0.43126,0.84576,0.98003,0.97228,0.99216,0.88286,0.62686,0.73572,0.8808,0.000481144,0.000481144,0.000481144
136,359.912,0.57953,0.43124,0.84564,0.9812,0.97229,0.99127,0.88375,0.62618,0.72491,0.88035,0.000474071,0.000474071,0.000474071
137,362.318,0.60302,0.43234,0.84668,0.97487,0.98269,0.99142,0.88089,0.6529,0.71308,0.88968,0.000466997,0.000466997,0.000466997
138,364.749,0.60069,0.43513,0.84754,0.9769,0.98346,0.99142,0.88398,0.64108,0.70306,0.88671,0.000459924,0.000459924,0.000459924
139,367.127,0.57569,0.43197,0.84658,0.97581,0.98368,0.99119,0.8884,0.63744,0.69809,0.88426,0.00045285,0.00045285,0.00045285
140,369.624,0.59752,0.43054,0.85164,0.97501,0.98413,0.99102,0.89022,0.63648,0.68473,0.88347,0.000445777,0.000445777,0.000445777
141,372.063,0.58109,0.4361,0.8466,0.97575,0.98272,0.99207,0.88746,0.63212,0.67842,0.88541,0.000438703,0.000438703,0.000438703
142,374.425,0.57794,0.42967,0.85435,0.97426,0.97924,0.99013,0.88431,0.63416,0.68291,0.88641,0.000431629,0.000431629,0.000431629
143,376.83,0.56962,0.4268,0.84344,0.97444,0.98214,0.98963,0.88145,0.62357,0.67934,0.88568,0.000424556,0.000424556,0.000424556
144,379.26,0.57052,0.42475,0.84603,0.97531,0.98779,0.99052,0.87875,0.62845,0.66601,0.88868,0.000417482,0.000417482,0.000417482
145,381.588,0.56639,0.42191,0.84477,0.97252,0.98657,0.99136,0.88092,0.63665,0.64755,0.88677,0.000410409,0.000410409,0.000410409
146,383.989,0.56924,0.42632,0.84689,0.97345,0.98889,0.99122,0.8824,0.63447,0.63371,0.8833,0.000403335,0.000403335,0.000403335
147,386.425,0.57522,0.42497,0.84639,0.97565,0.98737,0.99145,0.88114,0.61907,0.61383,0.88176,0.000396262,0.000396262,0.000396262
148,388.778,0.56402,0.41937,0.84541,0.9758,0.98901,0.99149,0.88183,0.62247,0.5979,0.88583,0.000389188,0.000389188,0.000389188
149,391.185,0.56409,0.41738,0.84518,0.97369,0.98205,0.99113,0.8874,0.62177,0.5858,0.88681,0.000382115,0.000382115,0.000382115
150,393.6,0.5914,0.43143,0.84416,0.97537,0.98411,0.99135,0.8871,0.62905,0.5736,0.89165,0.000375041,0.000375041,0.000375041
151,396.001,0.56567,0.41814,0.84243,0.97299,0.9875,0.9913,0.88913,0.61952,0.56491,0.88677,0.000367967,0.000367967,0.000367967
152,398.402,0.55908,0.41476,0.84314,0.97447,0.98955,0.99118,0.88262,0.62826,0.56541,0.88505,0.000360894,0.000360894,0.000360894
153,400.708,0.57815,0.41793,0.8431,0.97571,0.98898,0.99149,0.88338,0.62378,0.56103,0.88268,0.00035382,0.00035382,0.00035382
154,403.105,0.57028,0.4202,0.84228,0.97891,0.99017,0.99157,0.8854,0.62789,0.54264,0.88608,0.000346747,0.000346747,0.000346747
155,405.533,0.56742,0.41442,0.84139,0.98041,0.9909,0.99161,0.88617,0.63211,0.53558,0.88922,0.000339673,0.000339673,0.000339673
156,407.902,0.58462,0.4237,0.84004,0.9792,0.99032,0.99156,0.89055,0.61672,0.52909,0.88371,0.0003326,0.0003326,0.0003326
157,410.323,0.54669,0.41011,0.84104,0.97808,0.98725,0.99139,0.88908,0.61069,0.53087,0.8813,0.000325526,0.000325526,0.000325526
158,412.787,0.55168,0.41278,0.83822,0.97669,0.98779,0.99121,0.8909,0.60535,0.52943,0.88258,0.000318453,0.000318453,0.000318453
159,415.113,0.57794,0.41863,0.84017,0.97605,0.98729,0.99116,0.89021,0.61295,0.527,0.88474,0.000311379,0.000311379,0.000311379
160,417.536,0.56617,0.41534,0.84149,0.9761,0.98758,0.99132,0.89113,0.61854,0.52853,0.88515,0.000304306,0.000304306,0.000304306
161,419.899,0.55375,0.41171,0.83995,0.97757,0.98881,0.99135,0.88985,0.61908,0.53287,0.88431,0.000297232,0.000297232,0.000297232
162,422.303,0.53848,0.40431,0.83829,0.97417,0.98901,0.9913,0.88984,0.60827,0.5312,0.8822,0.000290158,0.000290158,0.000290158
163,424.689,0.54443,0.41062,0.84286,0.97355,0.98914,0.99122,0.89219,0.60222,0.52992,0.88195,0.000283085,0.000283085,0.000283085
164,427.205,0.55016,0.40706,0.83863,0.97453,0.98797,0.99136,0.89186,0.61555,0.52798,0.88504,0.000276011,0.000276011,0.000276011
165,429.721,0.55466,0.41483,0.84004,0.97374,0.98901,0.99142,0.88996,0.62772,0.5189,0.88706,0.000268938,0.000268938,0.000268938
166,432.221,0.54225,0.4062,0.83855,0.97355,0.99031,0.99171,0.89234,0.61798,0.51246,0.88539,0.000261864,0.000261864,0.000261864
167,434.579,0.56095,0.41311,0.83873,0.97587,0.99138,0.9933,0.89407,0.61065,0.50311,0.88643,0.000254791,0.000254791,0.000254791
168,436.887,0.55557,0.41172,0.83873,0.97768,0.99128,0.9936,0.89388,0.61486,0.48946,0.88959,0.000247717,0.000247717,0.000247717
169,439.378,0.54494,0.4065,0.83751,0.97762,0.99259,0.99375,0.88967,0.62196,0.48094,0.88933,0.000240644,0.000240644,0.000240644
170,441.989,0.54172,0.40326,0.8357,0.97797,0.98954,0.99367,0.89179,0.6208,0.47195,0.88796,0.00023357,0.00023357,0.00023357
171,444.284,0.54097,0.40235,0.83903,0.97788,0.98948,0.99374,0.89312,0.61411,0.46368,0.88937,0.000226497,0.000226497,0.000226497
172,446.654,0.5345,0.4025,0.8379,0.97955,0.98943,0.99385,0.89305,0.61657,0.45807,0.89067,0.000219423,0.000219423,0.000219423
173,449.038,0.52479,0.39832,0.83469,0.98656,0.98091,0.99362,0.89093,0.62202,0.45762,0.89099,0.000212349,0.000212349,0.000212349
174,451.444,0.54398,0.40299,0.83911,0.98734,0.98078,0.99365,0.89041,0.6206,0.45318,0.88849,0.000205276,0.000205276,0.000205276
175,453.846,0.5397,0.40099,0.83796,0.98756,0.9805,0.99377,0.89059,0.61355,0.44634,0.88831,0.000198202,0.000198202,0.000198202
176,456.172,0.528,0.39475,0.83187,0.98909,0.98134,0.99409,0.89248,0.60898,0.43841,0.88737,0.000191129,0.000191129,0.000191129
177,458.537,0.53575,0.4009,0.83826,0.98991,0.98033,0.99419,0.88959,0.61776,0.43472,0.88926,0.000184055,0.000184055,0.000184055
